Katergori,RPN,Resiko
1,343,3
1 ,280,3
1,210,3
1,200,2
1,245,3
1,96,1
1,24,0
1,80,1
1,192,2
1,384,3
1,60,1
1,300,3
1,256,3
1,1,0
1,144,2
1,120,2
1,20,0
1,12,0
1,12,0
1,12,0
1,72,1
1,120,2
1,16,0
1,144,2
1,50,1
1,54,1
1,30,0
1,72,1
1,54,1
1,45,1
1,72,1
1,36,0
1,72,1
1,36,0
1,30,0
1,48,1
1,30,0
1,40,0
1,30,0
1,36,0
1,24,0
1,72,1
1,36,0
1,45,1
1,126,2
1,24,0
1,105,2
1,140,2
1,140,2
1,140,2
1,105,2
1,80,1
1,64,1
1,126,2
1,125,2
2,343,3
2,80,1
2,512,4
2,162,2
2,225,3
2,280,3
2,100,1
2,105,2
2,280,3
2,175,2
2,60,1
2,140,2
2,128,2
2,24,0
2,168,2
2,512,4
2,96,1
2,120,2
2,144,2
2,18,0
2,24,0
2,72,1
2,120,2
2,75,1
2,40,0
2,72,1
2,60,1
2,126,2
2,336,3
2,42,1
2,42,1
2,28,0
2,54,1
2,30,0
2,72,1
2,20,0
2,12,0
2,36,0
2,63,1
2,112,2
2,45,1
2,72,1
2,64,1
2,48,1
2,150,2
2,90,1
2,24,0
2,280,3
2,224,3
2,192,2
2,144,2
2,36,0
2,48,1
2,63,1
2,125,2
3,343,3
3,180,2
3,245,3
3,405,3
3,147,2
3,270,3
3,45,1
3,210,3
3,216,3
3,280,3
3,48,1
3,240,3
3,504,4
3,27,0
3,270,3
3,294,3
3,4,0
3,3,0
3,1,0
3,8,0
3,36,0
3,2,0
3,8,0
3,20,0
3,24,0
3,9,0
3,9,0
3,64,1
3,72,1
3,6,0
3,12,0
3,8,0
3,27,0
3,12,0
3,12,0
3,24,0
3,6,0
3,12,0
3,36,0
3,16,0
3,36,0
3,18,0
3,45,1
3,16,0
3,60,1
3,72,1
3,126,2
3,8,0
3,24,0
3,30,0
3,144,2
3,126,2
3,144,2
3,70,1
3,576,4
4,125,2
4,45,1
4,378,3
4,50,1
4,27,0
4,324,3
4,45,1
4,210,3
4,400,3
4,256,3
4,27,0
4,240,3
4,300,3
4,8,0
4,504,4
4,448,3
4,48,1
4,20,0
4,18,0
4,45,1
4,12,0
4,10,0
4,40,0
4,48,1
4,144,2
4,80,1
4,90,1
4,80,1
4,56,1
4,112,2
4,56,1
4,126,2
4,144,2
4,112,2
4,189,2
4,56,1
4,126,2
4,126,2
4,147,2
4,336,3
4,140,2
4,192,2
4,112,2
4,189,2
4,90,1
4,81,1
4,162,2
4,32,0
4,48,1
4,50,1
4,60,1
4,360,3
4,405,3
4,600,4
4,630,4
5,125,2
5,343,3
5,210,3
5,243,3
5,147,2
5,294,3
5,150,2
5,210,3
5,84,1
5,320,3
5,20,0
5,200,2
5,196,2
5,12,0
5,210,3
5,210,3
5,90,1
5,72,1
5,30,0
5,120,2
5,180,2
5,80,1
5,225,3
5,180,2
5,384,3
5,504,4
5,486,3
5,392,3
5,504,4
5,441,3
5,504,4
5,504,4
5,448,3
5,378,3
5,567,4
5,336,3
5,504,4
5,392,3
5,504,4
5,504,4
5,448,3
5,512,4
5,448,3
5,343,3
5,30,0
5,150,2
5,216,3
5,630,4
5,648,4
5,567,4
5,84,1
5,90,1
5,288,3
5,200,2
5,250,3
6,216,3
6,144,2
6,100,1
6,20,0
6,105,2
6,40,0
6,80,1
6,270,3
6,216,3
6,320,3
6,36,0
6,240,3
6,336,3
6,4,0
6,72,1
6,448,3
6,20,0
6,1,0
6,2,0
6,5,0
6,63,1
6,72,1
6,6,0
6,1,0
6,6,0
6,12,0
6,16,0
6,24,0
6,24,0
6,12,0
6,18,0
6,12,0
6,12,0
6,24,0
6,18,0
6,16,0
6,6,0
6,4,0
6,18,0
6,48,1
6,40,0
6,18,0
6,64,1
6,18,0
6,12,0
6,42,1
6,72,1
6,30,0
6,60,1
6,60,1
6,48,1
6,126,2
6,252,3
6,108,2
6,30,0
7,216,3
7,256,3
7,252,3
7,168,2
7,567,4
7,320,3
7,120,2
7,240,3
7,504,4
7,224,3
7,30,0
7,200,2
7,128,2
7,12,0
7,280,3
7,384,3
7,60,1
7,24,0
7,168,2
7,288,3
7,72,1
